start city,stop city,distance
Adelaide,Frankfurt,15650.03583319831
Adelaide,Georgetown,16466.052322347263
Adelaide,Glasgow,16337.572957603541
Adelaide,Guatemala City,14669.696957833385
Adelaide,Guayaquil,14342.087554512706
Adelaide,Hamburg,15500.781990894631
Adelaide,Hammerfest,14528.424391370252
Adelaide,Havana,15932.3052050248
Adelaide,Helsinki,14557.390367505044
Adelaide,Hobart,1171.7113535778699
Adelaide,Hong Kong,6812.708875304361
Adelaide,Iquique,13210.070684874727
Adelaide,Irkutsk,10214.318637344706
Adelaide,Jakarta,4545.837397267698
Adelaide,Johannesburg,10028.31445207208
Adelaide,Kingston,16090.109005431324
Adelaide,Kinshasa,12691.341433934893
Adelaide,Kuala Lumpur,5754.737368658619
Adelaide,La Paz,13708.333488996515
Adelaide,Leeds,16244.308787540329
Adelaide,Lima,13626.98988257179
Adelaide,Lisbon,17164.7915922151
Adelaide,Liverpool,16358.49770522203
Adelaide,London,16254.908806813475
Adelaide,Lyons,15968.532121008273
Adelaide,Madrid,16612.297846122838
Adelaide,Manchester,16303.114322168889
Adelaide,Manila,5755.119129462848
Adelaide,Marseilles,15908.89496447439
Adelaide,Mazatln,13702.860418588229
Adelaide,Mecca,12118.721845089016
Adelaide,Melbourne,646.8480912873737
Adelaide,Mexico City,14099.05192837502
Adelaide,Milan,15608.802638728253
Adelaide,Montevideo,12191.588733149065
Adelaide,Moscow,13769.74666423602
Adelaide,Munich,15447.118098333689
Adelaide,Nagasaki,7512.115429058517
Adelaide,Nagoya,7816.130454730486
Adelaide,Nairobi,11009.971157785876
Adelaide,Nanjing (Nanking),7719.237652500396
Adelaide,Naples,15137.344643127577
Adelaide,New Delhi,9503.805721618703
Adelaide,Newcastle-on-Tyne,16209.431203994925
Adelaide,Odessa,13989.983799395774
Adelaide,Osaka,7667.023985364152
Adelaide,Oslo,15372.060571007618
Adelaide,Panama City,15218.086398691908
Adelaide,Paramaribo,16498.703477528
Adelaide,Paris,16120.155752852455
Adelaide,Perth,2150.0995058004064
Adelaide,Plymouth,16557.164076577596
Adelaide,Port Moresby,2974.0534616266395
Adelaide,Prague,15238.20234629084
Adelaide,Rangoon,7230.99543080913
Adelaide,Reykjavk,16434.372740556195
Adelaide,Rio de Janeiro,13665.996719945491
Adelaide,Rome,15312.524998006262
Adelaide,Salvador,14769.250749577643
Adelaide,Santiago,11899.970612664532
Adelaide,St. Petersburg,14265.647663565987
Adelaide,So Paulo,13566.729432436932
Adelaide,Shanghai,7518.208853065691
Adelaide,Singapore,5375.857299921103
Adelaide,Sofia,14444.979804829974
Adelaide,Stockholm,14938.21668756757
Adelaide,Sydney,1162.6448099922331
Adelaide,Tananarive,8948.422069351562
Adelaide,Teheran,11904.187215800071
Adelaide,Tokyo,7781.350990213532
Adelaide,Tripoli,15004.254874062666
Adelaide,Venice,15366.541181400584
Adelaide,Veracruz,14419.911528194092
Adelaide,Vienna,15086.994165811182
Adelaide,Vladivostok,8661.133272390198
Adelaide,Warsaw,14776.749881839058
Adelaide,Wellington,3230.873711458025
Adelaide,Zrich,15673.835542086816
Algiers,Aberdeen,2419.5330797911347
Algiers,Adelaide,16010.778082968769
Algiers,Algiers,0.0
Algiers,Amsterdam,1752.658102473002
Algiers,Ankara,2599.487097811936
Algiers,Asuncin,9329.880754414877
Algiers,Athens,1814.2798034767698
Algiers,Auckland,19257.236893859656
Algiers,Bangkok,9761.988918985535
Algiers,Barcelona,526.1882703810641
Algiers,Beijing,9153.609288646707
Algiers,Belm,6752.236762013518
Algiers,Belfast,2093.3051127989834
Algiers,Belgrade,1709.6860115345937
Algiers,Berlin,1932.5757219511493
Algiers,Birmingham,1787.9228602713792
Algiers,Bogot,8576.962067628778
Algiers,Bombay,6963.82562454118
Algiers,Bordeaux,932.616934419795
Algiers,Bremen,1938.1442574866808
Algiers,Brisbane,17093.7147974502
Algiers,Bristol,1697.8358156047684
Algiers,Brussels,1562.4872047923855
Algiers,Bucharest,2175.414740304293
Algiers,Budapest,1812.3010595955377
Algiers,Buenos Aires,10113.325087551202
Algiers,Cairo,2702.3341983856744
Algiers,Calcutta,8150.272638857379
Algiers,Canton,10102.906440152454
Algiers,Cape Town,7950.263536118144
Algiers,Caracas,7567.267945472001
Algiers,Cayenne,6643.1380129579875
Algiers,Chihuahua,9714.02535859834
Algiers,Chongqing,9173.081804374568
Algiers,Copenhagen,2218.229780105501
Algiers,Crdoba,10275.323256964652
Algiers,Dakar,3177.4423000203537
Algiers,Darwin,14149.895838026177
Algiers,Djibouti,4908.72914632266
Algiers,Dublin,1988.9222582802595
Algiers,Durban,7887.256023234613
Algiers,Edinburgh,2168.6399966004615
Algiers,Frankfurt,1637.3470636491904
Algiers,Georgetown,7019.990212765613
Algiers,Glasgow,2181.6146284214865
Algiers,Guatemala City,9355.255409154706
Algiers,Guayaquil,9486.08363965145
Algiers,Hamburg,1953.5966645678502
Algiers,Hammerfest,3957.4804143565634
Algiers,Havana,8060.86730851966
Algiers,Helsinki,3056.4244302993548
Algiers,Hobart,16900.657166645527
Algiers,Hong Kong,10286.765393001746
Algiers,Iquique,9963.155100834614
Algiers,Irkutsk,7559.851692961227
Algiers,Jakarta,11621.868605444364
Algiers,Johannesburg,7456.622899231494
Algiers,Kingston,7937.966290404637
Algiers,Kinshasa,4698.2632696536775
Algiers,Kuala Lumpur,10508.459690037895
Algiers,La Paz,9488.932042935485
Algiers,Leeds,1914.5825617445423
Algiers,Lima,9945.91171134601
Algiers,Lisbon,1158.050622942915
Algiers,Liverpool,1920.505589777001
Algiers,London,1671.6139912462045
Algiers,Lyons,1003.3922835394912
Algiers,Madrid,698.4425883776701
Algiers,Manchester,1910.958089735254
Algiers,Manila,11378.7377494136
Algiers,Marseilles,768.4726173134612
Algiers,Mazatln,10075.541039014712
Algiers,Mecca,3900.853394827897
Algiers,Melbourne,16629.93869182117
Algiers,Mexico City,9823.472411968694
Algiers,Milan,1101.3295073044742
Algiers,Montevideo,9992.075105844358
Algiers,Moscow,3333.9867955957566
Algiers,Munich,1526.9793157173642
Algiers,Nagasaki,10550.499049256197
Algiers,Nagoya,10666.662944682092
Algiers,Nairobi,5443.985401520581
Algiers,Nanjing (Nanking),9851.31335339403
Algiers,Naples,1066.655954781251
Algiers,New Delhi,6848.825039977777
Algiers,Newcastle-on-Tyne,2038.6656635182762
Algiers,Odessa,2520.5687601610293
Algiers,Osaka,10722.42054089685
Algiers,Oslo,2620.966271690433
Algiers,Panama City,8760.150093913013
Algiers,Paramaribo,6828.944457937239
Algiers,Paris,1334.1272072356765
Algiers,Perth,13904.917777202003
Algiers,Plymouth,1643.1752768228307
Algiers,Port Moresby,15357.287926764697
Algiers,Prague,1798.2686384001017
Algiers,Rangoon,9188.836970347777
Algiers,Reykjavk,3508.0011477377248
Algiers,Rio de Janeiro,8160.741894441811
Algiers,Rome,976.8464174701902
Algiers,Salvador,6961.719953194248
Algiers,Santiago,10873.485305211103
Algiers,St. Petersburg,3219.0356852280916
Algiers,So Paulo,8427.094083289488
Algiers,Shanghai,10130.920146579734
Algiers,Singapore,10875.717660141052
Algiers,Sofia,1849.3366369044734
Algiers,Stockholm,2753.006175238313
Algiers,Sydney,17114.73456236772
Algiers,Tananarive,7687.158354903768
Algiers,Teheran,4315.796409410978
Algiers,Tokyo,10843.68154915108
Algiers,Tripoli,1024.405170866449
Algiers,Venice,1242.4514096031232
Algiers,Veracruz,9535.461208595922
Algiers,Vienna,1684.722432066576
Algiers,Vladivostok,9774.512868636657
Algiers,Warsaw,2240.6499735482785
Algiers,Wellington,19118.734533879277
Algiers,Zrich,1269.1231789554836
Amsterdam,Aberdeen,788.4532248508374
Amsterdam,Adelaide,15895.674197556478
Amsterdam,Algiers,1752.658102473002
Amsterdam,Amsterdam,0.0
Amsterdam,Ankara,2561.9715931535416
Amsterdam,Asuncin,10488.813734172996
Amsterdam,Athens,2193.3778313797707
Amsterdam,Auckland,18104.20757523044
Amsterdam,Bangkok,9218.80885685692
Amsterdam,Barcelona,1228.6327667101218
Amsterdam,Beijing,7877.857285964625
Amsterdam,Belm,7715.0174060490635
Amsterdam,Belfast,711.3897403222484
Amsterdam,Belgrade,1442.290439381312
Amsterdam,Berlin,593.3783474995021
Amsterdam,Birmingham,414.0606150377628
Amsterdam,Bogot,8860.84266854102
Amsterdam,Bombay,6857.872487051331
Amsterdam,Bordeaux,929.6981039689606
Amsterdam,Bremen,301.59316868732907
Amsterdam,Brisbane,16254.828441798018
Amsterdam,Bristol,484.96696959045727
Amsterdam,Brussels,190.31154535567532
Amsterdam,Bucharest,1855.8755217575138
Amsterdam,Budapest,1203.7319381977752
Amsterdam,Buenos Aires,11387.57767949002
Amsterdam,Cairo,3277.1043968136773
Amsterdam,Calcutta,7646.603911051658
Amsterdam,Canton,9124.682905173653
Amsterdam,Cape Town,9632.82940582793
Amsterdam,Caracas,7867.272150173027
